E,t,p,q
1773391946736,63344198,2.02200000,4.36000000
1773392072767,63344199,2.02200000,-112.50000000
1773392094236,63344200,2.02200000,1000.00000000
1773392094236,63344201,2.02200000,4.70000000
1773392094236,63344202,2.02200000,268.01000000
1773392094241,63344203,2.02200000,731.99000000
1773392094241,63344204,2.02200000,268.01000000
1773392094247,63344205,2.02200000,731.99000000
1773392094248,63344206,2.02200000,731.99000000
1773392094249,63344207,2.02200000,268.01000000
1773392094249,63344208,2.02200000,45.96000000
1773392124115,63344209,2.02400000,3.71000000
1773392124115,63344210,2.02400000,3.71000000
1773392124115,63344211,2.02400000,49.03000000
1773392130634,63344212,2.02400000,-154.86000000
1773392130634,63344213,2.02400000,-145.14000000
1773392165562,63344214,2.02400000,112.50000000
1773392165574,63344215,2.02400000,112.50000000
1773392171748,63344216,2.02400000,-112.50000000
1773392171748,63344217,2.02400000,-107.23000000
1773392208315,63344218,2.02400000,-28.49000000
1773392208316,63344219,2.02400000,-145.34000000
1773392213038,63344220,2.02300000,112.50000000
1773392277935,63344221,2.02500000,112.50000000
1773392277935,63344222,2.02500000,3.71000000
1773392277935,63344223,2.02500000,3.71000000
1773392277935,63344224,2.02500000,140.38000000
1773392277935,63344225,2.02500000,104.60000000
1773392344635,63344226,2.02500000,-626.55000000
1773392344635,63344227,2.02500000,-138.65000000
1773392350951,63344228,2.02400000,-3.71000000
1773392350951,63344229,2.02400000,-3.71000000
1773392381316,63344230,2.02300000,-3.71000000
1773392381316,63344231,2.02300000,-3.71000000
1773392381316,63344232,2.02300000,-17.58000000
1773392388182,63344233,2.02500000,15.00000000
